atm_inventario_año;atm_inventario_grupo_cont;atm_inventario_sector;atm_inventario_sector_descripcion;atm_inventario_cont_desc;atm_inventario_cont_unidades;atm_inventario_cont_cantidad
2020;Metales pesados;7,0;Transporte por carretera;Cd;kg;31.48
2020;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Cd;kg;0.57
2020;Metales pesados;9,0;Tratamiento y eliminación de residuos;Cd;kg;4.70
2020;Metales pesados;10,0;Agricultura;Cd;kg;0.00
2020;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Cd;kg;0.00
2020;Metales pesados;1,0;Combustión en la producción y transformación de energía;Cr;kg;2.06
2020;Metales pesados;2,0;Plantas de combustión no industrial;Cr;kg;345.51
2020;Metales pesados;3,0;Plantas de combustión industrial;Cr;kg;158.53
2020;Metales pesados;4,0;Procesos industriales sin combustión;Cr;kg;15.50
2020;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Cr;kg;0.00
2020;Metales pesados;6,0;Uso de disolventes y otros productos;Cr;kg;0.00
2020;Metales pesados;7,0;Transporte por carretera;Cr;kg;453.73
2020;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Cr;kg;14.68
2020;Metales pesados;9,0;Tratamiento y eliminación de residuos;Cr;kg;26.70
2020;Metales pesados;10,0;Agricultura;Cr;kg;0.00
2020;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Cr;kg;0.00
2020;Metales pesados;1,0;Combustión en la producción y transformación de energía;Cu;kg;0.54
2020;Metales pesados;2,0;Plantas de combustión no industrial;Cu;kg;79.05
2020;Metales pesados;3,0;Plantas de combustión industrial;Cu;kg;47.28
2020;Metales pesados;4,0;Procesos industriales sin combustión;Cu;kg;2.95
2020;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Cu;kg;0.00
2020;Metales pesados;6,0;Uso de disolventes y otros productos;Cu;kg;47.54
2020;Metales pesados;7,0;Transporte por carretera;Cu;kg;11596.66
2020;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Cu;kg;99.28
2020;Metales pesados;9,0;Tratamiento y eliminación de residuos;Cu;kg;16.91
2020;Metales pesados;10,0;Agricultura;Cu;kg;0.00
2020;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Cu;kg;0.00
2020;Metales pesados;1,0;Combustión en la producción y transformación de energía;Hg;kg;0.11
2020;Metales pesados;2,0;Plantas de combustión no industrial;Hg;kg;15.94
2020;Metales pesados;3,0;Plantas de combustión industrial;Hg;kg;17.18
2020;Metales pesados;4,0;Procesos industriales sin combustión;Hg;kg;11.22
2020;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Hg;kg;0.00
2020;Metales pesados;6,0;Uso de disolventes y otros productos;Hg;kg;15.67
2020;Metales pesados;7,0;Transporte por carretera;Hg;kg;17.20
2020;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Hg;kg;2.27
2020;Metales pesados;9,0;Tratamiento y eliminación de residuos;Hg;kg;50.83
2020;Metales pesados;10,0;Agricultura;Hg;kg;0.00
2020;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Hg;kg;0.00
2020;Metales pesados;1,0;Combustión en la producción y transformación de energía;Ni;kg;0.18
2020;Metales pesados;2,0;Plantas de combustión no industrial;Ni;kg;2640.95
2020;Metales pesados;3,0;Plantas de combustión industrial;Ni;kg;336.30
2020;Metales pesados;4,0;Procesos industriales sin combustión;Ni;kg;60.51
2020;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Ni;kg;0.00
2020;Metales pesados;6,0;Uso de disolventes y otros productos;Ni;kg;23.71
2020;Metales pesados;7,0;Transporte por carretera;Ni;kg;243.03
2020;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Ni;kg;3.75
2020;Metales pesados;9,0;Tratamiento y eliminación de residuos;Ni;kg;2.86
2020;Metales pesados;10,0;Agricultura;Ni;kg;0.00
2020;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Ni;kg;0.00
2020;Metales pesados;1,0;Combustión en la producción y transformación de energía;Pb;kg;2.42
2020;Metales pesados;2,0;Plantas de combustión no industrial;Pb;kg;351.67
2020;Metales pesados;3,0;Plantas de combustión industrial;Pb;kg;177.92
2020;Metales pesados;4,0;Procesos industriales sin combustión;Pb;kg;221.37
2020;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Pb;kg;0.00
2020;Metales pesados;6,0;Uso de disolventes y otros productos;Pb;kg;0.23
2020;Metales pesados;7,0;Transporte por carretera;Pb;kg;4625.33
2020;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Pb;kg;241.56
2020;Metales pesados;9,0;Tratamiento y eliminación de residuos;Pb;kg;32.14
2020;Metales pesados;10,0;Agricultura;Pb;kg;0.00
2020;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Pb;kg;0.00
2020;Metales pesados;1,0;Combustión en la producción y transformación de energía;Se;kg;0.07
2020;Metales pesados;2,0;Plantas de combustión no industrial;Se;kg;5.24
2020;Metales pesados;3,0;Plantas de combustión industrial;Se;kg;14.06
2020;Metales pesados;4,0;Procesos industriales sin combustión;Se;kg;0.00
2020;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Se;kg;0.00
2020;Metales pesados;6,0;Uso de disolventes y otros productos;Se;kg;0.00
2020;Metales pesados;7,0;Transporte por carretera;Se;kg;34.82
2020;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Se;kg;0.62
2020;Metales pesados;9,0;Tratamiento y eliminación de residuos;Se;kg;6.11
2020;Metales pesados;10,0;Agricultura;Se;kg;0.00
2020;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Se;kg;0.00
2020;Metales pesados;1,0;Combustión en la producción y transformación de energía;Zn;kg;46.05
2020;Metales pesados;2,0;Plantas de combustión no industrial;Zn;kg;1831.00
2020;Metales pesados;3,0;Plantas de combustión industrial;Zn;kg;2590.54
2020;Metales pesados;4,0;Procesos industriales sin combustión;Zn;kg;339.43
2020;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Zn;kg;0.00
2020;Metales pesados;6,0;Uso de disolventes y otros productos;Zn;kg;23.78
2020;Metales pesados;7,0;Transporte por carretera;Zn;kg;5703.50
2020;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Zn;kg;72.33
2020;Metales pesados;9,0;Tratamiento y eliminación de residuos;Zn;kg;851.42
2020;Metales pesados;10,0;Agricultura;Zn;kg;0.00
2020;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Zn;kg;0.00
2020;Partículas;1,0;Combustión en la producción y transformación de energía;PM2,5;t;68.85
2020;Partículas;2,0;Plantas de combustión no industrial;PM2,5;t;1688.29
2020;Partículas;3,0;Plantas de combustión industrial;PM2,5;t;753.66
2020;Partículas;4,0;Procesos industriales sin combustión;PM2,5;t;82.03
2020;Partículas;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;PM2,5;t;0.00
2020;Partículas;6,0;Uso de disolventes y otros productos;PM2,5;t;252.41
2020;Partículas;7,0;Transporte por carretera;PM2,5;t;1242.39
2020;Partículas;8,0;Otros modos de transporte y maquinaria móvil;PM2,5;t;167.64
2020;Partículas;9,0;Tratamiento y eliminación de residuos;PM2,5;t;401.56
2020;Partículas;10,0;Agricultura;PM2,5;t;26.00
2020;Partículas;11,0;Otras fuentes y sumideros (naturaleza);PM2,5;t;130.41
2020;Partículas;1,0;Combustión en la producción y transformación de energía;PM10;t;70.19
2020;Partículas;2,0;Plantas de combustión no industrial;PM10;t;1858.18
2020;Partículas;3,0;Plantas de combustión industrial;PM10;t;781.25
2020;Partículas;4,0;Procesos industriales sin combustión;PM10;t;746.71
2020;Partículas;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;PM10;t;0.00
2020;Partículas;6,0;Uso de disolventes y otros productos;PM10;t;266.61
2020;Partículas;7,0;Transporte por carretera;PM10;t;1720.71
2020;Partículas;8,0;Otros modos de transporte y maquinaria móvil;PM10;t;168.21
2020;Partículas;9,0;Tratamiento y eliminación de residuos;PM10;t;413.77
2020;Partículas;10,0;Agricultura;PM10;t;395.96
2020;Partículas;11,0;Otras fuentes y sumideros (naturaleza);PM10;t;159.38
